vendor_id,category,country,years_as_vendor,num_orders_completed,avg_order_value_usd,on_time_delivery_rate,defect_rejection_rate,lead_time_variance_days,price_competitiveness,payment_terms_compliance,rfq_response_time_hours,communication_responsiveness_score,price_volatility_across_quotes,dispute_frequency_per_year,has_iso_certification,reliability_score,risk_tier
V0028,Structural Steel,United States,4.6,33,6800.0,0.599,0.15,3.9,0.924,0.41,26.8,38.4,0.032,0.24,0,56.6,Approved
V0029,Drilling Tools,China,7.0,40,1100.0,0.926,0.013,2.6,0.88,0.911,1.0,82.1,0.083,0.0,0,88.1,Preferred
V0030,Safety Equipment (PPE),China,3.8,20,2700.0,0.626,0.113,2.9,0.862,0.696,31.6,74.7,0.043,0.14,1,68.5,Approved
V0031,Safety Equipment (PPE),India,0.3,7,48000.0,0.554,0.089,3.1,1.116,0.596,40.3,73.0,0.045,1.84,1,61.2,Approved
V0032,Instrumentation,Germany,1.2,15,9300.0,0.264,0.127,6.2,1.13,0.484,35.9,78.0,0.116,1.19,0,45.7,Watchlist
V0033,Valves & Actuators,China,3.3,14,6800.0,0.678,0.06,4.4,0.952,0.525,29.7,58.7,0.067,0.0,1,74.4,Approved
V0034,Drilling Tools,China,1.8,19,58600.0,0.552,0.041,2.9,0.928,0.665,19.4,70.3,0.014,0.44,0,74.4,Approved
V0035,Structural Steel,Nigeria,16.5,80,41700.0,0.655,0.039,0.2,0.921,0.822,1.0,58.6,0.096,0.53,1,79.2,Preferred
V0036,Valves & Actuators,China,2.4,12,13700.0,0.257,0.175,5.5,1.01,0.436,43.0,30.1,0.177,1.92,1,35.2,Watchlist
V0037,Structural Steel,Germany,1.1,3,10300.0,0.252,0.211,10.6,1.01,0.496,54.9,29.0,0.192,2.11,0,20.8,High Risk
V0038,Structural Steel,United Kingdom,3.2,17,11900.0,0.429,0.166,7.7,0.996,0.624,47.9,46.1,0.12,2.75,0,51.3,Watchlist
V0039,Instrumentation,China,3.7,27,16400.0,0.781,0.02,4.6,0.998,0.799,1.0,84.3,0.082,1.7,1,80.6,Preferred
V0040,Industrial Chemicals,Italy,2.5,18,56400.0,0.793,0.03,0.6,1.038,0.813,1.0,92.0,0.051,0.0,1,84.4,Preferred
V0041,Pipes & Fittings,China,4.6,6,19500.0,0.329,0.226,5.8,0.838,0.237,24.0,23.5,0.225,1.16,1,26.7,High Risk
V0042,Rotating Equipment Spares,United Kingdom,0.9,4,25700.0,0.188,0.186,11.6,0.864,0.316,14.7,58.2,0.01,2.14,1,30.9,High Risk
V0043,Rotating Equipment Spares,China,2.0,23,38300.0,0.532,0.073,4.5,0.722,0.543,27.7,57.7,0.058,1.68,1,71.9,Approved
V0044,Electrical Equipment,China,3.5,26,4700.0,0.476,0.166,5.7,1.142,0.489,36.9,37.1,0.131,0.56,0,47.8,Watchlist
V0045,Valves & Actuators,China,3.2,24,26400.0,0.825,0.039,5.7,0.99,0.647,4.3,61.8,0.023,0.0,0,84.7,Preferred
V0046,Subsea Hardware,China,4.8,40,10200.0,0.074,0.223,11.4,1.188,0.079,59.6,5.1,0.208,3.43,0,8.2,High Risk
V0047,Safety Equipment (PPE),China,9.6,88,1400.0,0.384,0.176,7.2,0.827,0.182,44.7,61.9,0.151,2.32,0,35.6,Watchlist
V0048,Structural Steel,China,2.7,20,2000.0,0.157,0.186,8.5,1.307,0.15,30.5,35.1,0.122,1.78,0,24.4,High Risk
V0049,Industrial Chemicals,Nigeria,11.4,50,5300.0,0.066,0.217,13.4,1.025,0.103,48.8,8.2,0.228,4.79,0,6.0,High Risk
V0050,Rotating Equipment Spares,UAE,0.8,13,21500.0,0.306,0.159,9.7,1.073,0.144,15.3,21.9,0.195,1.22,1,39.4,Watchlist
V0051,Rotating Equipment Spares,United States,9.3,59,14800.0,0.438,0.192,14.2,1.174,0.188,34.2,72.1,0.149,1.18,0,28.1,High Risk
V0052,Pipes & Fittings,United Kingdom,1.0,9,15800.0,0.503,0.126,7.5,0.862,0.394,31.9,69.5,0.106,1.52,0,51.5,Watchlist
V0053,Electrical Equipment,Nigeria,5.4,35,77300.0,0.79,0.057,0.2,0.862,0.547,22.0,65.6,0.062,0.22,1,71.2,Approved
V0054,Safety Equipment (PPE),South Korea,2.0,3,4300.0,0.194,0.1,7.6,1.039,0.51,36.8,38.0,0.131,0.56,1,50.0,Watchlist
V0055,Safety Equipment (PPE),Germany,1.6,22,13000.0,0.109,0.214,9.4,1.48,0.386,42.2,21.3,0.079,2.19,0,18.2,High Risk
V0056,Valves & Actuators,China,14.7,69,17600.0,0.5,0.087,6.3,1.048,0.402,27.3,51.4,0.146,1.3,1,57.8,Approved
V0057,Drilling Tools,China,7.2,27,6900.0,0.75,0.102,3.3,1.188,0.674,24.0,64.4,0.05,0.09,1,68.9,Approved
V0058,Pipes & Fittings,China,2.8,11,13700.0,0.154,0.14,9.1,1.23,0.367,50.8,32.7,0.227,2.81,0,31.0,High Risk
V0059,Rotating Equipment Spares,China,0.3,1,3200.0,0.253,0.157,8.8,1.101,0.216,37.0,54.0,0.191,2.01,0,35.7,Watchlist
V0060,Industrial Chemicals,Nigeria,0.8,4,47500.0,0.681,0.096,5.7,0.824,0.508,28.8,39.3,0.153,2.32,1,60.4,Approved
V0061,Subsea Hardware,United States,1.1,11,7200.0,0.557,0.196,5.4,1.17,0.647,29.8,24.1,0.079,2.28,1,45.3,Watchlist
V0062,Rotating Equipment Spares,China,3.8,21,83100.0,0.706,0.086,1.6,0.743,0.771,16.4,58.1,0.072,0.16,1,78.8,Preferred
V0063,Electrical Equipment,United Kingdom,5.0,12,13000.0,0.655,0.147,13.6,1.241,0.6,36.4,41.0,0.058,1.7,1,63.2,Approved
V0064,Subsea Hardware,Nigeria,1.9,9,33700.0,0.706,0.072,2.0,0.995,0.784,17.0,91.5,0.053,0.94,1,79.0,Preferred
V0065,Safety Equipment (PPE),China,5.7,39,12700.0,0.212,0.169,9.6,0.654,0.108,43.9,41.6,0.229,3.83,0,30.7,High Risk
V0066,Electrical Equipment,Germany,5.5,27,13000.0,0.636,0.108,2.3,0.95,0.712,30.4,67.7,0.195,1.07,0,65.2,Approved
V0067,Subsea Hardware,China,2.2,2,7900.0,0.313,0.097,7.0,1.109,0.52,28.2,39.1,0.072,2.52,0,45.6,Watchlist
V0068,Electrical Equipment,Italy,0.7,12,14900.0,0.497,0.173,7.6,1.025,0.387,37.0,17.3,0.152,2.98,1,39.8,Watchlist
V0069,Valves & Actuators,China,0.3,4,17800.0,0.161,0.227,9.9,1.185,0.235,38.0,5.3,0.187,4.66,0,3.9,High Risk
V0070,Safety Equipment (PPE),Germany,5.0,21,6600.0,0.74,0.043,6.4,0.838,0.669,4.1,79.9,0.118,2.01,0,75.6,Preferred
V0071,Rotating Equipment Spares,South Korea,3.6,25,11900.0,0.46,0.164,8.3,0.822,0.379,37.8,50.2,0.048,2.16,0,43.6,Watchlist
V0072,Pipes & Fittings,Singapore,5.3,53,7700.0,0.432,0.158,10.7,1.04,0.332,42.0,47.6,0.086,2.49,0,36.4,Watchlist
V0073,Safety Equipment (PPE),Germany,8.6,71,105800.0,0.576,0.144,1.9,1.01,0.431,41.1,43.2,0.149,2.16,0,63.0,Approved
V0074,Pipes & Fittings,India,11.3,74,12300.0,0.634,0.037,7.0,0.891,0.838,13.5,75.5,0.01,0.2,1,75.8,Preferred
V0075,Industrial Chemicals,UAE,6.6,44,53700.0,0.128,0.245,10.3,1.298,0.061,73.3,8.5,0.2,5.62,0,0.0,High Risk
V0076,Safety Equipment (PPE),India,2.0,11,11200.0,0.132,0.224,14.6,0.947,0.156,38.9,28.2,0.195,3.32,0,11.0,High Risk
V0077,Electrical Equipment,China,2.8,22,16900.0,0.254,0.219,11.5,1.093,0.623,27.8,10.1,0.182,2.25,0,20.0,High Risk
V0078,Instrumentation,Nigeria,7.7,58,4100.0,0.754,0.022,2.8,0.937,0.729,4.9,90.0,0.047,0.0,1,89.2,Preferred
V0079,Drilling Tools,Nigeria,2.0,21,8900.0,0.654,0.104,3.0,0.752,0.532,6.6,57.3,0.089,0.2,1,67.4,Approved
V0080,Industrial Chemicals,Germany,2.3,15,16100.0,0.648,0.042,3.9,0.764,0.54,41.5,49.9,0.128,1.26,1,67.5,Approved
V0081,Subsea Hardware,United States,5.9,25,55700.0,0.209,0.194,8.5,1.059,0.304,56.7,5.1,0.186,2.12,1,24.6,High Risk
V0082,Safety Equipment (PPE),United States,10.7,84,16300.0,0.185,0.196,9.7,1.353,0.185,47.3,20.7,0.138,3.82,0,21.9,High Risk
V0083,Pipes & Fittings,UAE,7.5,62,46400.0,0.82,0.066,3.9,1.064,0.58,15.2,83.9,0.102,0.0,1,81.9,Preferred
V0084,Structural Steel,China,6.4,33,23800.0,0.753,0.077,0.7,0.738,0.655,51.2,80.3,0.137,1.65,0,73.8,Approved
V0085,Industrial Chemicals,China,3.7,34,57800.0,0.67,0.043,7.0,0.506,0.519,20.8,70.8,0.181,2.03,1,70.1,Approved
V0086,Rotating Equipment Spares,United States,1.7,4,12700.0,0.45,0.06,6.4,1.119,0.591,28.5,79.6,0.168,0.0,0,66.9,Approved
V0087,Valves & Actuators,United States,6.0,58,114800.0,0.537,0.067,3.9,0.972,0.696,44.7,56.7,0.168,3.11,0,63.7,Approved
V0088,Electrical Equipment,China,10.1,77,8600.0,0.687,0.136,4.1,1.163,0.705,36.5,71.8,0.082,1.04,0,67.2,Approved
V0089,Rotating Equipment Spares,United Kingdom,3.0,8,6700.0,0.688,0.031,4.4,0.829,0.701,49.4,62.1,0.059,0.87,1,70.0,Approved
V0090,Structural Steel,United Kingdom,2.5,16,4500.0,0.686,0.033,1.2,1.012,0.938,25.7,61.7,0.072,1.23,1,83.1,Preferred
V0091,Safety Equipment (PPE),United Kingdom,1.6,15,108900.0,0.191,0.24,5.5,1.208,0.308,39.8,8.9,0.186,4.04,0,12.1,High Risk
V0092,Structural Steel,United Kingdom,3.9,21,27900.0,0.077,0.232,14.2,1.045,0.141,42.9,1.6,0.171,4.32,0,0.0,High Risk
V0093,Structural Steel,UAE,8.6,70,9900.0,0.769,0.062,4.1,0.886,0.596,1.0,89.4,0.138,1.4,0,81.4,Preferred
V0094,Electrical Equipment,United Kingdom,0.9,1,41100.0,0.654,0.06,1.7,0.944,0.746,16.0,68.9,0.111,0.76,1,71.2,Approved
V0095,Structural Steel,Italy,3.4,27,24800.0,0.291,0.212,6.4,1.132,0.5,52.9,14.6,0.151,4.31,0,29.5,High Risk
V0096,Instrumentation,South Korea,0.3,1,78400.0,0.222,0.205,12.2,1.091,0.353,53.9,4.8,0.236,4.12,0,15.6,High Risk
V0097,Instrumentation,Nigeria,12.8,49,3300.0,0.625,0.108,2.0,1.141,0.749,29.4,48.6,0.127,3.26,1,66.6,Approved
V0098,Industrial Chemicals,United Kingdom,4.5,27,10500.0,0.859,0.025,0.5,0.884,0.804,9.7,91.9,0.114,1.39,1,86.6,Preferred
V0099,Industrial Chemicals,Nigeria,3.4,9,8800.0,0.844,0.074,0.2,0.711,0.709,16.5,97.5,0.01,0.0,1,80.1,Preferred
V0100,Pipes & Fittings,Germany,4.7,16,2300.0,0.683,0.041,6.5,1.271,0.697,37.5,31.8,0.089,3.38,0,67.2,Approved
V0101,Structural Steel,UAE,0.6,7,34700.0,0.277,0.116,6.3,0.928,0.243,38.5,33.3,0.134,1.49,0,46.2,Watchlist
V0102,Pipes & Fittings,Germany,0.9,12,10500.0,0.23,0.158,7.7,0.959,0.15,40.0,14.1,0.191,3.93,0,33.5,High Risk
V0103,Structural Steel,Nigeria,3.8,29,26000.0,0.606,0.072,10.9,0.99,0.547,20.3,69.1,0.088,1.61,0,62.8,Approved
V0104,Valves & Actuators,UAE,6.1,52,111700.0,0.42,0.192,7.8,1.025,0.521,43.1,47.5,0.01,2.88,1,31.5,High Risk
V0105,Rotating Equipment Spares,United Kingdom,0.3,2,9700.0,0.134,0.235,10.1,0.993,0.415,1.6,16.4,0.112,2.1,0,11.1,High Risk
V0106,Rotating Equipment Spares,India,9.2,84,9100.0,0.85,0.012,0.2,0.895,0.901,16.2,91.0,0.025,0.0,1,100.0,Preferred
V0107,Rotating Equipment Spares,China,3.5,28,14900.0,0.807,0.011,0.2,0.905,0.882,44.8,82.9,0.043,0.0,1,84.9,Preferred
V0108,Industrial Chemicals,UAE,6.9,40,32500.0,0.831,0.014,0.2,0.969,0.609,1.7,92.7,0.153,1.77,1,90.0,Preferred
V0109,Safety Equipment (PPE),Germany,4.6,23,8000.0,0.489,0.185,11.4,0.692,0.287,35.4,36.0,0.191,3.01,0,31.1,High Risk
V0110,Rotating Equipment Spares,China,12.1,68,7600.0,0.844,0.053,4.4,1.239,0.458,22.2,81.4,0.086,1.5,1,76.1,Preferred
V0111,Instrumentation,Nigeria,5.1,25,34600.0,0.446,0.057,3.5,0.946,0.332,18.7,19.3,0.09,0.0,1,63.5,Approved
V0112,Rotating Equipment Spares,China,8.4,41,18800.0,0.782,0.098,4.2,1.065,0.717,38.5,60.7,0.155,1.04,1,69.0,Approved
V0113,Drilling Tools,India,2.8,13,2100.0,0.869,0.05,3.8,0.731,0.669,24.4,95.4,0.034,0.59,0,89.2,Preferred
V0114,Safety Equipment (PPE),China,1.0,16,4400.0,0.492,0.087,0.2,0.898,0.768,26.1,85.3,0.084,1.1,0,70.8,Approved
V0115,Drilling Tools,Italy,7.5,51,51600.0,0.681,0.06,2.2,0.862,0.809,32.9,34.0,0.032,1.65,1,75.8,Preferred
V0116,Drilling Tools,China,1.0,13,19200.0,0.792,0.046,1.1,1.189,0.553,24.5,61.1,0.162,0.57,1,77.0,Preferred
V0117,Valves & Actuators,Italy,6.3,51,6700.0,0.672,0.122,9.3,0.895,0.676,65.1,35.7,0.124,1.27,1,61.4,Approved
V0118,Pipes & Fittings,Germany,0.7,3,11500.0,0.083,0.228,13.9,1.203,0.121,47.9,35.6,0.165,4.63,0,9.4,High Risk
V0119,Instrumentation,Nigeria,4.5,42,13500.0,0.607,0.151,0.2,0.898,0.248,31.6,57.1,0.111,0.0,1,60.5,Approved
V0120,Pipes & Fittings,India,11.7,86,25900.0,0.152,0.192,4.0,0.96,0.395,14.5,22.7,0.171,2.74,0,35.9,Watchlist
V0121,Safety Equipment (PPE),India,5.4,43,3900.0,0.165,0.173,9.8,1.027,0.188,35.0,20.1,0.165,2.71,0,24.9,High Risk
V0122,Industrial Chemicals,Italy,3.8,37,6300.0,0.909,0.011,0.2,1.108,0.788,28.6,44.1,0.018,0.0,1,92.4,Preferred
V0123,Industrial Chemicals,China,5.7,29,17100.0,0.877,0.016,0.2,0.63,0.94,1.0,73.8,0.01,0.0,1,95.8,Preferred
V0124,Safety Equipment (PPE),Nigeria,2.9,13,12200.0,0.799,0.021,6.5,0.735,0.574,1.0,82.1,0.076,1.21,1,76.3,Preferred
V0125,Structural Steel,China,15.0,65,22400.0,0.688,0.133,6.0,0.695,0.627,28.1,72.3,0.091,2.25,0,65.2,Approved
V0126,Drilling Tools,Nigeria,2.5,19,4400.0,0.88,0.044,2.9,0.769,0.655,34.3,48.3,0.037,0.0,0,82.1,Preferred
V0127,Valves & Actuators,China,3.4,24,18400.0,0.672,0.164,4.2,0.878,0.654,30.4,42.8,0.053,2.37,1,56.1,Approved
V0128,Rotating Equipment Spares,Nigeria,5.6,28,35700.0,0.673,0.123,7.2,0.748,0.601,24.1,73.7,0.115,2.16,1,65.0,Approved
V0129,Drilling Tools,Nigeria,4.3,42,20700.0,0.313,0.206,8.5,0.945,0.319,17.5,8.6,0.16,2.72,0,26.8,High Risk
V0130,Industrial Chemicals,United States,5.3,20,15100.0,0.707,0.138,4.0,0.678,0.443,31.9,65.0,0.086,0.54,1,65.1,Approved
V0131,Drilling Tools,Nigeria,2.4,22,12300.0,0.555,0.138,7.3,0.844,0.394,37.4,53.0,0.127,0.96,1,55.0,Approved
V0132,Drilling Tools,India,2.5,20,6300.0,0.181,0.212,6.1,1.245,0.355,20.3,48.5,0.216,3.79,0,22.4,High Risk
V0133,Valves & Actuators,India,6.9,26,12500.0,0.452,0.181,10.2,1.063,0.758,44.1,44.0,0.157,1.62,0,42.1,Watchlist
V0134,Drilling Tools,Nigeria,6.7,40,41500.0,0.322,0.136,6.7,1.032,0.566,39.9,44.4,0.151,0.75,0,50.5,Watchlist
V0135,Rotating Equipment Spares,Nigeria,5.6,55,12000.0,0.837,0.019,3.5,0.76,0.755,27.4,93.5,0.027,0.0,1,84.8,Preferred
V0136,Electrical Equipment,Italy,9.2,34,6000.0,0.722,0.04,0.4,0.725,0.748,29.0,48.1,0.051,1.37,1,88.0,Preferred
V0137,Industrial Chemicals,China,7.1,47,8600.0,0.536,0.15,3.7,0.829,0.835,37.7,45.9,0.067,1.1,0,57.4,Approved
V0138,Valves & Actuators,China,6.7,22,16000.0,0.744,0.151,2.3,0.981,0.58,34.0,47.7,0.079,1.62,0,63.7,Approved
V0139,Electrical Equipment,China,0.8,1,9500.0,0.508,0.12,6.5,1.128,0.737,40.0,48.4,0.119,2.67,1,55.9,Approved
V0140,Safety Equipment (PPE),UAE,4.7,24,20700.0,0.571,0.185,6.8,1.146,0.341,10.0,61.2,0.09,0.65,1,55.9,Approved
V0141,Subsea Hardware,United States,3.8,34,21400.0,0.316,0.139,8.3,1.149,0.265,21.7,32.1,0.174,2.75,0,37.5,Watchlist
V0142,Instrumentation,India,9.6,71,29700.0,0.422,0.135,3.9,0.897,0.572,22.5,31.8,0.079,1.61,1,57.2,Approved
V0143,Instrumentation,UAE,2.9,17,48100.0,0.351,0.18,5.2,1.041,0.396,35.2,32.9,0.071,2.76,0,40.0,Watchlist
V0144,Safety Equipment (PPE),United Kingdom,3.4,14,32700.0,0.167,0.192,9.9,1.014,0.166,45.9,45.4,0.217,4.09,0,21.1,High Risk
V0145,Subsea Hardware,South Korea,1.6,17,5800.0,0.787,0.171,3.2,0.944,0.492,29.3,47.4,0.073,0.0,1,66.9,Approved
V0146,Structural Steel,India,1.8,13,5900.0,0.695,0.092,3.0,1.286,0.74,39.9,63.3,0.061,1.68,1,75.7,Preferred
V0147,Valves & Actuators,China,9.0,52,12500.0,0.085,0.222,15.6,0.825,0.294,59.9,10.7,0.146,4.49,0,3.2,High Risk
V0148,Instrumentation,United Kingdom,5.1,26,8900.0,0.483,0.136,6.2,0.971,0.712,20.6,45.4,0.147,1.57,1,58.3,Approved
V0149,Structural Steel,United Kingdom,12.3,40,4800.0,0.874,0.019,6.0,1.132,0.89,23.9,44.8,0.144,0.38,1,76.6,Preferred
V0150,Valves & Actuators,China,3.6,27,9000.0,0.768,0.034,1.3,0.727,0.752,10.3,90.8,0.052,0.81,1,85.1,Preferred
V0151,Structural Steel,China,1.4,7,8700.0,0.812,0.081,3.3,0.852,0.687,18.5,62.5,0.063,0.78,1,74.9,Approved
V0152,Instrumentation,Italy,2.8,27,7300.0,0.585,0.099,5.7,0.919,0.722,33.5,70.3,0.172,2.08,0,63.2,Approved
V0153,Subsea Hardware,United States,2.1,6,10100.0,0.177,0.161,4.5,1.009,0.424,1.0,19.4,0.068,3.03,0,34.8,High Risk
V0154,Instrumentation,United States,5.6,39,38600.0,0.257,0.225,13.0,0.815,0.168,68.7,15.5,0.267,1.91,0,12.1,High Risk
V0155,Safety Equipment (PPE),India,6.0,25,16000.0,0.421,0.147,4.6,1.072,0.416,33.7,79.4,0.227,2.11,0,45.5,Watchlist
V0156,Industrial Chemicals,Nigeria,5.5,17,123600.0,0.535,0.114,6.7,1.081,0.67,19.4,77.1,0.01,2.23,0,64.0,Approved
V0157,Pipes & Fittings,Italy,14.9,126,15600.0,0.878,0.031,0.2,1.012,0.754,41.5,83.0,0.057,0.35,1,82.9,Preferred
V0158,Drilling Tools,India,9.0,69,10300.0,0.817,0.043,2.1,0.814,0.739,15.9,86.0,0.035,0.0,1,82.5,Preferred
V0159,Drilling Tools,United States,1.7,5,13400.0,0.418,0.106,4.3,1.02,0.647,32.8,40.7,0.113,1.64,0,61.9,Approved
V0160,Rotating Equipment Spares,United Kingdom,6.8,35,16800.0,0.218,0.184,13.1,0.927,0.343,35.4,20.2,0.155,3.14,0,27.1,High Risk
V0161,Subsea Hardware,Singapore,3.6,25,19800.0,0.393,0.112,7.8,0.966,0.646,52.7,29.3,0.175,0.92,1,56.0,Approved
V0162,Industrial Chemicals,India,3.2,14,86600.0,0.57,0.086,6.2,1.312,0.261,26.8,72.4,0.105,1.04,1,66.5,Approved
V0163,Safety Equipment (PPE),Italy,9.2,46,6200.0,0.525,0.103,10.0,1.024,0.499,33.6,31.5,0.084,0.55,1,54.1,Watchlist
V0164,Safety Equipment (PPE),China,1.4,8,28900.0,0.251,0.113,10.7,0.851,0.483,49.6,63.5,0.137,2.78,0,49.0,Watchlist
V0165,Safety Equipment (PPE),Germany,7.1,29,16100.0,0.584,0.113,7.1,1.014,0.321,34.7,50.6,0.134,1.47,1,51.6,Watchlist
V0166,Structural Steel,UAE,6.0,51,3200.0,0.311,0.172,4.1,0.822,0.293,33.9,36.9,0.083,0.67,0,44.9,Watchlist
V0167,Electrical Equipment,China,1.4,6,26700.0,0.174,0.216,6.3,0.852,0.247,49.0,47.9,0.066,2.61,0,20.1,High Risk
V0168,Pipes & Fittings,Nigeria,0.8,1,41800.0,0.474,0.077,2.5,0.828,0.582,57.7,58.9,0.206,1.21,1,57.7,Approved
V0169,Electrical Equipment,UAE,3.3,22,6200.0,0.584,0.167,9.1,0.953,0.673,37.4,33.6,0.106,2.51,0,52.4,Watchlist
V0170,Valves & Actuators,China,8.0,47,13300.0,0.625,0.117,5.6,1.128,0.828,29.2,56.1,0.102,0.98,1,70.4,Approved
V0171,Pipes & Fittings,United States,4.9,41,2800.0,0.409,0.094,1.6,1.073,0.435,29.6,73.4,0.088,0.58,1,64.9,Approved
V0172,Valves & Actuators,Germany,9.0,28,4300.0,0.117,0.218,9.2,1.135,0.33,56.0,14.4,0.199,2.16,1,15.3,High Risk
V0173,Rotating Equipment Spares,United Kingdom,4.4,38,34300.0,0.34,0.187,3.8,0.859,0.484,27.1,34.7,0.23,1.65,0,39.2,Watchlist
V0174,Rotating Equipment Spares,United States,10.5,79,8800.0,0.905,0.04,1.3,0.847,0.834,13.7,83.1,0.084,0.04,1,91.2,Preferred
V0175,Industrial Chemicals,United States,1.8,10,4900.0,0.184,0.199,5.6,1.099,0.308,22.0,35.7,0.096,3.01,1,29.0,High Risk
V0176,Safety Equipment (PPE),United Kingdom,4.5,17,16400.0,0.141,0.232,14.1,1.012,0.153,34.8,8.3,0.146,3.76,0,7.6,High Risk
V0177,Rotating Equipment Spares,South Korea,1.9,9,8300.0,0.125,0.208,12.9,1.051,0.349,40.5,35.4,0.184,3.27,0,16.8,High Risk
V0178,Pipes & Fittings,India,3.4,23,8700.0,0.572,0.093,10.7,1.065,0.686,29.1,47.7,0.105,1.25,1,63.9,Approved
V0179,Subsea Hardware,China,3.9,30,26000.0,0.337,0.1,8.0,0.946,0.343,51.0,46.1,0.033,3.82,0,41.1,Watchlist
V0180,Drilling Tools,Singapore,4.7,21,4700.0,0.588,0.093,5.3,1.04,0.608,37.5,43.4,0.166,1.04,1,62.4,Approved
V0181,Subsea Hardware,South Korea,2.5,7,5900.0,0.786,0.053,4.2,1.178,0.85,8.1,57.0,0.011,0.0,0,78.0,Preferred
